size, addfirst(ms), addlast(ms), addrandpos(ms), removefirst(ms), removelast(ms), removerandpos(ms), getrandpos(ms)
6918, 2.995e-05, 3.095e-05, 0.00494643, 3.595e-05, 3.41e-05, 0.00495422, 0.00523578
8015, 3.08e-05, 3.195e-05, 0.00685453, 3.195e-05, 3.37e-05, 0.00699783, 0.00666732
1284, 5.31e-05, 4.545e-05, 0.00102426, 4.69e-05, 4.715e-05, 0.00098459, 0.000994445
6475, 4.35e-05, 4.51e-05, 0.00538484, 5.135e-05, 3.515e-05, 0.0054321, 0.00552517
2044, 5.735e-05, 4.44e-05, 0.0015224, 5.045e-05, 5.03e-05, 0.00158497, 0.0013339
1819, 4.93e-05, 6.985e-05, 0.00134621, 3.68e-05, 4.765e-05, 0.00143754, 0.00137032
6952, 4.67e-05, 4.255e-05, 0.00593764, 5.425e-05, 4.675e-05, 0.00605432, 0.0061878
5947, 5.8e-05, 4.45e-05, 0.00536407, 3.625e-05, 4.565e-05, 0.00485057, 0.00433298
2134, 3.805e-05, 3.2e-05, 0.00136564, 3.14e-05, 3.335e-05, 0.00139453, 0.00135563
2756, 3.165e-05, 3.07e-05, 0.00201537, 3.265e-05, 3.28e-05, 0.00185949, 0.00198605
602, 7.005e-05, 7.04e-05, 0.00036763, 3.66e-05, 3.59e-05, 0.00032649, 0.000347215
1535, 3.325e-05, 3.21e-05, 0.000924275, 3.09e-05, 3.135e-05, 0.000952995, 0.00095375
5315, 3.015e-05, 3.23e-05, 0.00419055, 3.045e-05, 3.18e-05, 0.00489679, 0.00403191
501, 3.655e-05, 3.13e-05, 0.00031383, 3.32e-05, 3.54e-05, 0.000300085, 0.0002878
8976, 3.665e-05, 3.05e-05, 0.00705174, 4.38e-05, 5.12e-05, 0.00735702, 0.00737029
5769, 6.59e-05, 3.825e-05, 0.00506215, 5.645e-05, 3.58e-05, 0.00487045, 0.00452375
676, 6.1e-05, 4.215e-05, 0.000441065, 3.695e-05, 3.66e-05, 0.00045875, 0.000425035
6547, 3.13e-05, 3.095e-05, 0.00583327, 3.66e-05, 3.355e-05, 0.00568035, 0.00577659
9061, 4.185e-05, 3.295e-05, 0.0079164, 3.25e-05, 3.57e-05, 0.0070409, 0.00692826
2218, 3.48e-05, 3.14e-05, 0.00144598, 3.355e-05, 3.33e-05, 0.00144985, 0.00164612
7072, 3.78e-05, 3.565e-05, 0.0060417, 5.545e-05, 5.59e-05, 0.00651447, 0.00640354
1112, 6.75e-05, 5.05e-05, 0.000742785, 4.94e-05, 5e-05, 0.00068622, 0.00067523
5646, 4.815e-05, 5.075e-05, 0.00492793, 4.37e-05, 4.015e-05, 0.00469833, 0.00437165
8461, 3.69e-05, 3.54e-05, 0.0071432, 4.77e-05, 5.67e-05, 0.0072439, 0.0074827
9722, 3.675e-05, 3.32e-05, 0.00869845, 3.615e-05, 3.51e-05, 0.0087621, 0.00796267
5541, 3.715e-05, 3.3e-05, 0.00369496, 3.495e-05, 3.425e-05, 0.00420639, 0.00426959
6306, 3.02e-05, 3.05e-05, 0.00474003, 3.385e-05, 3.515e-05, 0.00537449, 0.00585899
9602, 4.805e-05, 5.745e-05, 0.00870487, 5.255e-05, 5.03e-05, 0.00815175, 0.00889308
8281, 4.685e-05, 4.8e-05, 0.00767282, 5.61e-05, 3.575e-05, 0.00712283, 0.00665457
9684, 4.925e-05, 5.08e-05, 0.00801837, 4.53e-05, 5.215e-05, 0.00826262, 0.0086138
7530, 5.615e-05, 5.49e-05, 0.00644116, 5.64e-05, 4.54e-05, 0.00532407, 0.00547053
587, 4.215e-05, 3.065e-05, 0.000354535, 3.385e-05, 3.28e-05, 0.0003676, 0.0003517
9253, 3.265e-05, 3.195e-05, 0.00699221, 3.175e-05, 3.36e-05, 0.0104874, 0.00858382
2606, 5.49e-05, 3.17e-05, 0.00212802, 4.94e-05, 5.64e-05, 0.00184256, 0.00210097
8276, 4.505e-05, 3.265e-05, 0.00736588, 3.56e-05, 3.55e-05, 0.00702992, 0.0066013
9493, 5.565e-05, 5.155e-05, 0.00858276, 5.795e-05, 4.745e-05, 0.00846861, 0.00750171
5837, 5.23e-05, 5.755e-05, 0.00495204, 3.705e-05, 5.56e-05, 0.00444347, 0.00480805
4442, 5.34e-05, 4.46e-05, 0.00356878, 4.24e-05, 3.725e-05, 0.00359335, 0.00307381
6166, 3.28e-05, 3.415e-05, 0.00469497, 3.285e-05, 3.405e-05, 0.00465487, 0.00449848
5645, 3.88e-05, 3.255e-05, 0.00495434, 5.235e-05, 4.155e-05, 0.00500297, 0.00540301
3334, 6.48e-05, 4.92e-05, 0.00252466, 4.955e-05, 4.835e-05, 0.00287517, 0.00261211
7653, 4.32e-05, 4.625e-05, 0.00659269, 4.885e-05, 3.71e-05, 0.00637937, 0.0068178
4655, 4.345e-05, 3.32e-05, 0.00408303, 4.34e-05, 3.455e-05, 0.00424969, 0.00343088
58, 3.955e-05, 5.59e-05, 7.7325e-05, 3.365e-05, 3.32e-05, 8.438e-05, 6.746e-05
