size, addfirst(ms), addlast(ms), addrandpos(ms), removefirst(ms), removelast(ms), removerandpos(ms), getrandpos(ms)
58560, 4.555e-05, 0.3209461, 1.427623, 4.305e-05, 0.32514265, 1.5588883, 2.3217626
62930, 3.28e-05, 0.33756905, 1.6290777, 4.64e-05, 0.34605935, 1.8104214, 2.4772782
22186, 4.4e-05, 0.12432025, 0.6453665, 4.365e-05, 0.12774895, 0.5883542, 0.89164005
62464, 3.315e-05, 0.34023215, 1.60548, 4.445e-05, 0.34871875, 1.697127, 2.6422059
75997, 3.565e-05, 0.4114794, 1.8962953, 6.17e-05, 0.4237211, 2.0705656, 2.9529014
15409, 4.625e-05, 0.09105965, 0.4567514, 4.35e-05, 0.09489125, 0.40729655, 0.6934216
56641, 3.245e-05, 0.32052305, 1.645572, 4.1e-05, 0.3281284, 1.6406503, 2.4056147
14431, 3.82e-05, 0.0836457, 0.40850435, 3.81e-05, 0.08598955, 0.3774263, 0.5818849
26368, 3.455e-05, 0.15811015, 0.7201448, 4.505e-05, 0.160355, 0.84667715, 1.1236533
48277, 3.395e-05, 0.28053355, 1.3593837, 4.595e-05, 0.28701865, 1.34213, 2.0680383
55551, 3.425e-05, 0.3243553, 1.4519261, 4.775e-05, 0.3335261, 1.5704319, 2.3773109
2852, 3.72e-05, 0.01325785, 0.061316, 3.91e-05, 0.0142724, 0.06251145, 0.09091105
27777, 3.37e-05, 0.1685968, 0.84359635, 4.275e-05, 0.1729508, 0.7994658, 1.2339873
16745, 3.83e-05, 0.1055406, 0.5317899, 4.29e-05, 0.10853545, 0.5498819, 0.78380955
16225, 3.86e-05, 0.1059834, 0.5483702, 3.985e-05, 0.1062856, 0.5057907, 0.7910045
66892, 3.145e-05, 0.390601, 1.8231637, 4.26e-05, 0.3979104, 1.8685001, 2.8547299
1083, 3.9e-05, 0.0047736, 0.0216849, 4.215e-05, 0.0055455, 0.0221861, 0.02966465
92124, 3.705e-05, 0.5185889, 2.7570876, 6.265e-05, 0.5648231, 2.3318377, 3.8613056
58411, 5.36e-05, 0.3544868, 1.692107, 4.235e-05, 0.3605943, 1.6880367, 2.579828
74138, 3.23e-05, 0.4307392, 2.1302685, 4.49e-05, 0.4391413, 2.0725771, 3.0652094
87175, 3.79e-05, 0.5017451, 2.3614974, 4.835e-05, 0.5109483, 2.3864656, 3.3911558
89962, 3.145e-05, 0.51911915, 2.4056392, 4.925e-05, 0.52870355, 2.457951, 3.5678997
21258, 5.545e-05, 0.13940755, 0.6356602, 4.1e-05, 0.14218925, 0.6831276, 1.0281901
54423, 3.375e-05, 0.3371919, 1.7518038, 5.27e-05, 0.3449303, 1.7023517, 2.5645011
38324, 6.45e-05, 0.25391735, 1.2763953, 4.97e-05, 0.25807705, 1.3692632, 1.7801093
84137, 4.26e-05, 0.49609965, 2.2713069, 4.765e-05, 0.5032267, 2.4451633, 3.6351327
35426, 4.985e-05, 0.23347655, 1.20013, 7.005e-05, 0.23807895, 1.1737586, 1.7138887
79856, 3.745e-05, 0.51737515, 2.2847395, 5.435e-05, 0.5030773, 2.2228942, 3.6443257
73419, 6.615e-05, 0.46725825, 2.0916046, 8.33e-05, 0.46504515, 2.4125789, 3.3134351
97062, 3.44e-05, 0.6483133, 3.0596969, 7.49e-05, 0.6271574, 3.1396406, 4.6536442
53985, 6.33e-05, 0.35639675, 1.5889255, 5.185e-05, 0.3604234, 1.6455078, 2.6746202
88815, 4.74e-05, 0.5548498, 2.7758806, 5.125e-05, 0.5624797, 2.5237927, 3.8717874
53963, 5.56e-05, 0.35815085, 1.6480979, 5.13e-05, 0.36325715, 1.7997183, 2.6984711
18830, 5.145e-05, 0.13666505, 0.63378275, 6.835e-05, 0.1376676, 0.6665346, 1.0370063
62875, 3.835e-05, 0.4208912, 1.9877723, 7.05e-05, 0.4231616, 2.173554, 3.0538885
83953, 3.6e-05, 0.5324256, 2.5541778, 5.56e-05, 0.53974365, 2.7606201, 4.0789198
